COD_RAZON;RAZON;OAB
CAC1;LA COMPOSICION DE ESPECIES AFECTA AL EJERCICIO DEL DESCARTE (ELEVADAS CANTIDADES DE ESPECIES NO DESEADAS RESTRINGEN LA SELECCION);F
CAC2;COMPOSICION DE TALLAS (ALTAS TASAS DE PECES  DE CATEGORIAS PEQUEÑAS PUEDEN INTERFERIR EN LA SELECCION CERCA DE LA TML;F
CAC3;CANTIDAD TOTAL CAPTURADA (ELEVADAS CAPTURAS TOTALES AFECTAN A LA SELECCION);F
CAP1;EL ESPACIO DISPONIBLE EN LAS BODEGAS PUEDE AFECTAR A LA PRACTICA DEL DESCARTE (SI EL ESPACIO ESTA MUY SOLICITADO SOLO SE RETIENEN LAS ESPECIES DE ALTO VALOR O CATEGORIA);T
DAM1;EJEMPLARES DAÑADOS;T
MAR1;AUSENCIA DE MERCADO EN PUERTO DE DESEMBARCO;F
MLS1;TALLA INFERIOR A TALLA MINIMA LEGAL;T
OTH1;OTRAS RAZONES DISTINTAS DE LAS ANTERIORES;F
QAL1;EN LAS MAREAS LARGAS ALGUNAS ESPECIES QUE SE CONSERVAN PEOR PUEDEN DESCARTARSE AL INICIO Y SER RETENIDAS EN LOS ULTIMOS DIAS;T
QUO1;EXCESO DE CUOTA;T
VAL1;DEBIDO A RESTRICCIONES DE TIEMPO (SI EL TIEMPO DE ARRASTRE ES CORTO) SOLO SE RETIENEN CATEGORIAS DE ALTO VALOR;T
TIM1;DEBIDO A LIMITACIONES EN LA CUOTA SOLO SE RETIENE ESPECIES CON PRECIOS ALTOS;F
WEA1;MALAS CONDICIONES EN CUBIERTA AFECTAN A LA SELECCION;T
ENC1;ESPECIE NO COMERCIAL;F
FDM1;FALTA DE DEMANDA EN EL MERCADO;F
CON1;CONSUMO PROPIO;F
UCC1;USO PROPIO COMO DEBO/CARNADA;F
DCC1;DISTRIBUCIÓN COMO CARNADA;F
